,player_name,position,age,birth_country,nationality,height_cms,weight_kgs,rating,team_name,league,season,goals_scored,goals_conceded,assists,saves,total_shots,shots_on_target,total_passes,key_passes,passing_accuracy,total_tackles,blocks,interceptions,total_duels,duels_won,dribbles_attempts,successful_dribbles,fouls_drawn,fouls_committed,yellow_card,red_card,yellowred_card,penalties_won,penalties_commited,penalties_scored,penalties_missed,penalties_saved,appearences,minutes_played,lineups,subbed_on,subbed_off,bench,performance
6745,M. Locatelli,Midfielder,22,Italy,Italy,185.0,75.0,7.178125,Sassuolo,Serie A,2019-2020,0,0,4,0,30,5,1767,47,87,69,13,31,116,71,66,51,56,43,9,0,0,0,0,0,0,0,33,2597,31,2,14,6,
6746,M. Locatelli,Midfielder,22,Italy,Italy,185.0,75.0,6.982142,Sassuolo,Serie A,2018-2019,2,0,4,0,31,6,1032,41,85,28,3,27,232,115,29,20,29,35,7,0,0,0,1,0,0,0,29,1849,21,8,10,16,
6885,J. Kluivert,Attacker,21,Netherlands,Netherlands,171.0,66.0,7.323333,Ajax,Eredivisie,2017-2018,10,0,5,0,80,34,709,50,86,8,2,13,351,159,154,81,41,41,2,0,0,1,0,0,0,0,30,2335,27,3,11,6,
7071,Rafael Leão,Attacker,21,Portugal,Portugal,188.0,81.0,6.948275,AC Milan,Serie A,2019-2020,6,0,1,0,44,16,321,31,78,5,0,0,46,15,60,39,15,16,0,0,0,1,0,0,0,0,31,1392,12,19,7,26,
7174,G. Donnarumma,Goalkeeper,21,Italy,Italy,196.0,90.0,7.0,AC Milan,Serie A,2019-2020,0,43,0,101,0,0,707,0,73,1,0,3,0,0,0,0,4,1,3,0,0,0,0,0,0,4,36,3202,36,0,1,0,
7175,G. Donnarumma,Goalkeeper,21,Italy,Italy,196.0,90.0,7.077142,AC Milan,Serie A,2018-2019,0,31,0,98,0,0,751,2,77,1,0,1,16,14,0,0,1,0,4,0,0,0,0,0,0,1,36,3092,36,0,2,0,
7250,Igor,Defender,22,Brazil,Brazil,185.0,85.0,7.2,Wolfsberger AC,Tipp3 Bundesliga,2017-2018,0,0,0,0,0,0,77,0,92,0,0,3,8,5,0,0,0,1,2,0,0,0,0,0,0,0,15,1350,15,0,0,0,
7286,P. Cutrone,Attacker,22,Italy,Italy,183.0,75.0,7.044444,AC Milan,UEFA Europa League,2017-2018,6,0,1,0,29,10,109,4,75,0,0,2,67,29,10,7,8,8,0,0,0,1,0,0,0,0,13,888,12,1,8,2,
7743,E. Vignato,Attacker,20,Italy,Italy,175.0,67.0,7.0424240000000005,Chievo,Serie B,2019-2020,2,0,3,0,64,26,839,48,77,31,0,13,100,49,78,55,14,21,3,0,0,0,0,0,0,0,19,1344,16,3,11,4,
7744,E. Vignato,Attacker,20,Italy,Italy,175.0,67.0,7.0424240000000005,Chievo,Serie B,2019-2020,3,0,3,0,64,26,839,48,77,31,0,13,100,49,78,55,14,21,1,0,0,0,0,0,0,0,16,1057,11,5,2,5,
7751,Adrian Šemper,Goalkeeper,22,Croatia,Croatia,194.0,89.0,6.916216,Chievo,Serie B,2019-2020,0,39,0,113,0,0,612,2,67,0,0,2,3,3,0,0,1,2,1,0,0,0,0,0,0,2,38,3450,38,0,0,2,
7792,Salvatore Esposito,Midfielder,20,Italy,Italy,178.0,70.0,6.931578,Chievo,Serie B,2019-2020,1,0,2,0,37,11,1124,37,80,37,4,21,76,39,12,8,61,43,6,0,0,0,1,0,0,0,39,2329,24,15,11,16,
8130,G. Cuomo,Defender,22,Italy,Italy,190.0,79.0,6.9142850000000005,Crotone,Serie B,2019-2020,1,0,0,0,7,3,998,2,82,39,6,34,94,63,7,5,18,20,6,0,0,0,0,0,0,0,21,1761,18,3,2,13,
8196,Igor,Defender,22,Brazil,Brazil,185.0,85.0,7.2,Wolfsberger AC,Tipp3 Bundesliga,2017-2018,0,0,0,0,0,0,77,0,92,0,0,3,8,5,0,0,0,1,2,0,0,0,0,0,0,0,15,1350,15,0,0,0,
8373,J. Chabot,Defender,22,Germany,Germany,195.0,85.0,6.923075999999999,Groningen,Eredivisie,2018-2019,1,0,0,0,9,2,813,5,69,37,19,42,306,197,16,11,21,27,6,0,0,2,0,0,0,0,28,2320,26,2,3,5,
8374,J. Chabot,Defender,22,Germany,Germany,195.0,85.0,6.95,Sparta Rotterdam,Eredivisie,2017-2018,2,0,1,0,5,2,496,6,71,8,1,43,239,148,27,19,21,19,5,0,1,1,0,0,0,0,20,1566,18,2,5,13,
8557,A. Malle,Attacker,22,Mali,Mali,176.0,72.0,7.0,Balıkesirspor,TFF 1. Lig,2019-2020,6,0,0,0,3,1,23,2,59,3,0,2,30,12,9,5,3,4,11,0,0,0,0,0,0,0,26,1827,20,6,7,6,
8685,C. Romero,Defender,22,Argentina,Argentina,185.0,79.0,6.9172410000000015,Genoa,Serie A,2019-2020,1,0,1,0,15,3,1310,10,87,49,31,72,72,43,22,15,23,47,14,0,1,1,1,0,0,0,30,2581,30,0,3,1,
8686,C. Romero,Defender,22,Argentina,Argentina,185.0,79.0,6.9307690000000015,Genoa,Serie A,2018-2019,2,0,2,0,18,6,627,3,77,35,26,38,258,152,14,13,21,36,11,1,1,1,2,0,0,0,27,2339,27,0,1,0,
8985,M. de Ligt,Defender,21,Netherlands,Netherlands,188.0,89.0,6.939285000000001,Juventus,Serie A,2019-2020,4,0,0,0,16,8,1366,3,89,24,23,25,51,29,2,1,17,27,5,0,0,1,3,0,0,0,29,2448,26,3,1,9,
8986,M. de Ligt,Defender,21,Netherlands,Netherlands,188.0,89.0,7.253125,Ajax,Eredivisie,2018-2019,3,0,1,0,46,14,1928,13,89,17,28,34,286,181,9,8,17,20,1,0,0,2,0,0,0,0,33,2970,33,0,0,0,
8987,M. de Ligt,Defender,21,Netherlands,Netherlands,188.0,89.0,7.133333,Ajax,Eredivisie,2017-2018,3,0,2,0,33,8,1839,10,88,5,6,57,290,163,17,15,14,28,8,0,0,0,1,0,0,0,33,2913,33,0,1,0,
8990,M. de Ligt,Defender,21,Netherlands,Netherlands,188.0,89.0,7.070588000000001,Ajax,UEFA Champions League,2018-2019,3,0,0,0,20,7,761,1,85,13,10,19,141,87,4,2,11,14,2,0,0,1,0,0,0,0,17,1530,17,0,0,0,
