,player_name,position,age,birth_country,nationality,height_cms,weight_kgs,rating,team_name,league,season,goals_scored,goals_conceded,assists,saves,total_shots,shots_on_target,total_passes,key_passes,passing_accuracy,total_tackles,blocks,interceptions,total_duels,duels_won,dribbles_attempts,successful_dribbles,fouls_drawn,fouls_committed,yellow_card,red_card,yellowred_card,penalties_won,penalties_commited,penalties_scored,penalties_missed,penalties_saved,appearences,minutes_played,lineups,subbed_on,subbed_off,bench,performance
13054,Mason Greenwood,Attacker,19,England,England,181.0,70.0,6.934482000000001,Manchester United,Premier League,2019-2020,10,0,1,0,39,20,427,14,84,17,0,6,122,51,32,21,8,12,0,0,0,0,0,0,0,0,31,1310,12,19,9,25,normal performance
13190,J. Justin,Defender,22,England,England,183.0,80.0,6.938461,Leicester,Premier League,2019-2020,0,0,1,0,7,0,563,13,83,36,7,11,156,85,17,8,20,8,1,0,0,0,1,0,0,0,13,1010,11,2,0,27,normal performance
13748,R. Sessegnon,Midfielder,20,England,England,178.0,70.0,6.9734690000000015,Fulham,Championship,2017-2018,16,0,8,0,62,27,1232,60,73,6,0,26,523,208,118,59,25,38,2,0,0,0,1,0,0,0,49,4297,48,1,7,1,normal performance
13969,A. Ramsdale,Goalkeeper,22,England,England,188.0,77.0,6.905405,Bournemouth,Premier League,2019-2020,0,62,1,129,0,0,491,2,52,4,0,0,21,17,0,0,3,0,0,0,0,0,0,0,0,1,37,3330,37,0,0,0,normal performance
14687,M. Guehi,Defender,20,Côte d'Ivoire,England,182.0,82.0,6.942857000000001,Swansea,Championship,2019-2020,0,0,0,0,4,0,679,2,84,16,11,26,138,83,9,7,14,5,1,0,0,0,0,0,0,0,14,1177,13,1,1,5,normal performance
14746,R. James,Defender,21,England,England,183.0,82.0,7.057142,Chelsea,Premier League,2019-2020,0,0,2,0,18,3,873,25,79,36,8,22,236,123,42,30,21,22,1,0,0,0,0,0,0,0,24,1510,16,8,3,13,normal performance
14747,R. James,Defender,21,England,England,183.0,82.0,7.108888,Wigan,Championship,2018-2019,3,0,3,0,45,15,1211,74,70,53,15,40,481,284,62,47,61,48,5,0,0,0,2,1,0,0,45,3972,44,1,4,1,normal performance
14764,C. Pulisic,Midfielder,22,USA,USA,172.0,69.0,6.916,Chelsea,Premier League,2019-2020,9,0,4,0,63,26,534,31,79,23,0,6,318,128,108,55,30,14,0,0,0,2,0,0,0,0,25,1727,19,6,11,10,normal performance
14913,M. Mount,Midfielder,21,England,England,178.0,70.0,6.937836999999999,Chelsea,Premier League,2019-2020,7,0,5,0,78,29,1064,52,85,37,3,16,324,125,71,40,38,37,3,0,0,1,0,0,0,0,37,2874,32,5,12,6,normal performance
14914,M. Mount,Midfielder,21,England,England,178.0,70.0,7.0054050000000005,Derby,Championship,2018-2019,9,0,4,0,94,32,1059,70,75,28,3,19,344,132,44,22,42,45,5,0,0,1,0,0,0,0,38,3321,38,0,7,0,normal performance
14915,M. Mount,Midfielder,21,England,England,178.0,70.0,7.453125,Vitesse,Eredivisie,2017-2018,14,0,9,0,70,25,591,80,77,4,0,13,264,125,73,47,37,30,5,0,0,0,0,0,0,0,32,2428,25,7,2,12,normal performance
15377,P. Cutrone,Attacker,22,Italy,Italy,183.0,75.0,7.044444,AC Milan,UEFA Europa League,2017-2018,6,0,1,0,29,10,109,4,75,0,0,2,67,29,10,7,8,8,0,0,0,1,0,0,0,0,13,888,12,1,8,2,normal performance
15908,R. Brewster,Attacker,20,England,England,180.0,75.0,7.00909,Swansea,Championship,2019-2020,11,0,0,0,54,26,228,11,62,13,1,5,255,108,31,16,39,35,7,0,0,1,0,0,0,0,22,1852,21,1,9,1,normal performance
15932,T. Alexander-Arnold,Defender,22,England,England,175.0,69.0,7.389473,Liverpool,Premier League,2019-2020,4,0,13,0,44,13,1871,87,75,55,9,45,235,100,51,21,9,22,5,0,0,0,0,0,0,0,38,3176,35,3,4,3,normal performance
15933,T. Alexander-Arnold,Defender,22,England,England,175.0,69.0,7.4,Liverpool,Premier League,2018-2019,1,0,12,0,29,9,1315,50,76,61,3,35,187,91,27,14,7,14,3,0,0,0,0,0,0,0,29,2467,27,2,7,6,normal performance
15934,T. Alexander-Arnold,Defender,22,England,England,175.0,69.0,7.055555,Liverpool,Premier League,2017-2018,1,0,1,0,12,5,778,25,71,37,5,28,131,63,32,20,1,12,3,0,0,0,0,0,0,0,19,1576,18,1,4,17,normal performance
15938,T. Alexander-Arnold,Defender,22,England,England,175.0,69.0,7.2727270000000015,Liverpool,UEFA Champions League,2018-2019,0,0,3,0,12,1,353,22,62,10,1,19,64,38,8,6,3,7,0,0,0,0,0,0,0,0,11,922,11,0,3,2,normal performance
15939,T. Alexander-Arnold,Defender,22,England,England,175.0,69.0,7.0666660000000014,Liverpool,UEFA Champions League,2017-2018,2,0,1,0,11,3,418,8,73,8,2,25,87,43,20,8,2,10,3,0,0,0,0,0,0,0,12,975,11,1,4,3,normal performance
16110,G. Diangana,Midfielder,22,England,England,180.0,73.0,7.082758,West Brom,Championship,2019-2020,8,0,6,0,47,20,549,41,75,28,1,7,327,160,129,73,43,15,2,0,0,1,0,0,0,0,30,1864,23,7,18,8,normal performance
16162,D. Rice,Midfielder,21,England,England,185.0,76.0,7.002631,West Ham,Premier League,2019-2020,1,0,3,0,31,9,1491,21,84,116,9,77,384,223,65,49,7,41,6,0,0,0,1,0,0,0,38,3420,38,0,0,0,normal performance
16163,D. Rice,Midfielder,21,England,England,185.0,76.0,6.947058,West Ham,Premier League,2018-2019,2,0,0,0,22,5,1312,9,85,98,12,52,321,185,34,26,7,17,4,0,0,0,0,0,0,0,34,3005,34,0,2,2,normal performance
16303,K. Danso,Defender,22,Austria,Austria,190.0,89.0,6.906666,FC Augsburg,Bundesliga 1,2017-2018,2,0,0,0,9,4,362,3,68,2,0,20,133,70,11,5,17,18,2,0,0,0,0,0,0,0,16,1107,13,3,5,11,normal performance
16707,M. Guendouzi,Midfielder,21,France,France,185.0,68.0,7.127777,Lorient,Ligue 2,2017-2018,0,0,1,0,31,8,897,13,89,2,1,22,162,97,26,18,56,17,3,1,0,0,0,0,0,0,18,1429,17,1,6,5,normal performance
